      acc_x            acc_y            acc_z               ang_x             ang_y            ang_z



    0.073828         -0.524219         0.591797          null         null         null
    0.073516         -0.417031         0.487891          null         null         null
    0.076         -0.318391         0.399688          null         null         null
    0.025253         -0.279712         0.280102          -0.945122         0.426829         -0.060976
    0.017663         -0.233536         0.230331          -0.792683         -0.152439         -1.036585
    0.020381         -0.192493         0.187195          0         -0.945122         -0.579268
    0.011422         -0.138955         0.165967          2.134146         -0.823171         0
    0.001911         -0.105695         0.132578          1.981707         -0.152439         0.640244
    0.006021         -0.078111         0.110555          1.676829         -0.152439         1.006098
    0.021614         -0.044129         0.097428          2.286585         0.335366         1.189024
    0.032525         -0.032374         0.084974          2.439024         1.646342         0.426829
    0.033051         -0.027657         0.054502          1.128049         2.439024         -0.487805
    0.019996         -0.027008         0.023875          -1.036585         2.439024         -0.823171
    0.002911         -0.031372         0.001522          -2.682927         1.676829         -0.792683
    -0.001382         -0.03584         0.004147          -2.957317         0.365854         -0.914634
    -0.001692         -0.044297         0.022654          -2.103659         -0.731707         -0.70122
    -0.004088         -0.034461         0.0316          -0.762195         -0.792683         -0.121951
    -0.010106         -0.017413         0.031139          0.487805         -0.27439         0.213415
    -0.010819         -0.010024         0.019638          1.067073         0.457317         0.091463
    -0.003773         0.001942         0.01864          1.493902         0.762195         -0.152439
    -0.006338         0.006632         0.006123          1.006098         1.280488         -0.213415
    -0.005461         0.004719         -0.000766          0.579268         1.067073         -0.243902
    0.002076         -0.000717         -0.00237          0.396341         0.640244         -0.27439
    0.012794         -0.00155         0.001619          0.335366         0.27439         -0.213415
    0.016485         -0.000263         0.002467          0.030488         0.335366         -0.243902
    0.012407         -0.003726         0.002364          -0.152439         0.243902         -0.457317
    0.00641         -0.001028         0.002673          -0.030488         -0.091463         -0.518293
    -0.000732         -0.001408         -0.002159          0.27439         -0.121951         -0.762195
    -0.003906         0.003366         -0.002118          0.335366         -0.304878         -0.884146
    -0.007226         0.003669         -0.00521          0.121951         -0.121951         -0.70122
    -0.006953         0.008599         -0.000066          -0.396341         0.213415         -0.335366
    -0.005367         0.008442         0.00776          -1.310976         0.70122         -0.152439
    -0.001364         -0.000082         0.008747          -2.195122         1.158537         -0.304878
    -0.003825         -0.011589         0.004654          -2.591464         1.676829         -0.426829
    -0.003451         -0.018646         0.003723          -2.591464         1.798781         -0.213415
    0.001536         -0.016675         0.001611          -1.585366         1.676829         -0.030488
    0.002987         -0.011973         -0.003594          -0.70122         1.158537         0.060976
    0.006491         0.002336         -0.003266          0.213415         0.548781         -0.121951
    0.007927         0.007337         -0.00105          0.518293         -0.030488         -0.518293
    0.002435         0.007237         0.001308          0.518293         -0.213415         -0.97561
    0.000581         0.000126         -0.006375          0.457317         -0.365854         -1.219512
    -0.00598         -0.00361         -0.007835          1.097561         -0.548781         -1.189024
    -0.000292         0.003166         0.000178          1.432927         -0.579268         -0.945122
    0.000938         0.00351         -0.000834          0.914634         -0.152439         -0.640244
    -0.000031         0.013745         0.000895          0.640244         0.091463         -0.487805
    0.003296         0.012754         0.001107          0.182927         0.518293         -0.518293
    0.000098         0.008445         0.002057          -0.518293         0.670732         -0.609756
